,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
0,2020-02-13,DE-BB,76.33744399999999,1824290.33235,2403340.782011,3.4015730000000417,0.003355,2.777806,4.542822
1,2020-02-13,DE-BE,76.065297,1786373.222902,2408181.7027970003,3.6946330000000103,0.0035229999999999997,4.671329,4.761508999999999
2,2020-02-13,DE-BW,80.113988,1505759.748267,2290157.738271,3.077143000000035,0.008013,4.268546,4.467023999999999
3,2020-02-13,DE-BY,81.554346,2363012.9499419997,2275361.322811,2.4330530000000294,0.005227000000000001,4.417797,3.6774139999999997
4,2020-02-13,DE-HB,87.16741400000001,8389.755794,2406939.730769,3.0874520000000416,0.0077150000000000005,1.794872,4.699573
5,2020-02-13,DE-HE,89.200446,307067.768686,2331353.181641,2.2039740000000734,0.005441,2.624676,4.398072
6,2020-02-13,DE-HH,86.685698,209488.601444,2404975.492424,2.5854760000000283,0.005799,3.242424,4.363794
7,2020-02-13,DE-MV,81.246496,2115141.10456,2407069.641877,3.205814000000032,0.002628,2.02164,4.910115
8,2020-02-13,DE-NI,87.179525,60634.84104,2391909.217105,2.721952999999985,0.007431,1.937668,4.307425
9,2020-02-13,DE-NW,85.525648,441980.954719,2361307.6076740003,3.606529000000023,0.007882,2.8972279999999997,4.687521
10,2020-02-13,DE-RP,89.927054,765036.315103,2326436.248215,2.9071970000000533,0.006326,3.7128120000000004,4.820924
11,2020-02-13,DE-SH,88.33686999999999,523403.754369,2406366.3522119997,2.8394700000000626,0.004933,1.525916,4.786011
12,2020-02-13,DE-SL,88.784533,910951.307065,2330070.100543,3.3924410000000194,0.00758,4.013587,5.792912
13,2020-02-13,DE-SN,74.823272,1352189.138118,2340669.027059,2.6996120000000587,0.0025210000000000002,3.7151949999999996,5.085935
14,2020-02-13,DE-ST,80.708839,416147.902607,2385273.834958,2.935706000000039,0.004409000000000001,2.1033470000000003,4.396736
15,2020-02-13,DE-TH,83.149783,181806.461939,2317997.488225,2.0935080000000426,0.004016,3.009039,5.137631
54,2020-02-14,DE-BB,92.49224699999999,340598.631015,2420690.100301,3.5882210000000327,0.000759,0.1647,2.010873
55,2020-02-14,DE-BE,93.20614599999999,188050.73601400002,2425379.4300700002,3.819991000000016,0.000322,0.643357,2.29662
56,2020-02-14,DE-BW,82.431173,2213486.0155419996,2314397.0428130003,4.91130400000003,0.0034219999999999997,3.935521,4.445492
57,2020-02-14,DE-BY,84.977489,2219763.8839439997,2294450.845539,4.262258000000031,0.004148,3.712586,4.504508
58,2020-02-14,DE-HB,85.48311700000001,326439.63742,2435404.948718,5.436693000000048,0.000674,0.8461540000000001,3.129701
59,2020-02-14,DE-HE,84.29446800000001,1847687.6335220002,2357898.899129,4.652352000000008,0.001361,2.631345,3.678115
60,2020-02-14,DE-HH,88.134403,421732.121686,2430409.664773,4.292865000000006,0.000558,1.454545,2.1116479999999997
61,2020-02-14,DE-MV,90.76779499999999,1387902.0716459998,2428617.86879,3.3608140000000617,0.000521,1.166717,1.77613
62,2020-02-14,DE-NI,86.996504,824224.9398640001,2419371.311404,5.095692000000042,0.000681,1.112356,2.924893
63,2020-02-14,DE-NW,84.727681,1116922.958805,2393145.45915,5.57728000000003,0.000657,1.5050709999999998,3.934864
64,2020-02-14,DE-RP,83.97186500000001,1257506.689459,2356881.0074380003,5.431289000000049,0.000715,3.225307,4.144386
65,2020-02-14,DE-SH,87.943697,526568.5161,2432635.617851,4.142078000000026,0.00038199999999999996,0.9897229999999999,2.34213
66,2020-02-14,DE-SL,86.623994,1159753.789742,2360819.6616849997,5.937704000000053,0.001261,3.538043,4.77603
67,2020-02-14,DE-SN,88.053794,1067297.779594,2356405.3990869997,4.033838000000003,0.002574,1.327674,3.5316970000000003
68,2020-02-14,DE-ST,87.509912,1794070.701625,2405792.59875,4.779194000000018,0.00106,1.620816,2.8253340000000002
69,2020-02-14,DE-TH,84.99463399999999,2347265.620956,2339249.583135,4.130174000000068,0.001936,2.132255,3.7329410000000003
108,2020-02-15,DE-BB,81.744497,1360050.407411,2429750.571993,5.3145339999999806,1.1e-05,3.0780819999999998,3.9662699999999997
109,2020-02-15,DE-BE,81.577388,1411348.291084,2434691.0262240004,5.633129000000054,4e-06,4.986014,4.266375
110,2020-02-15,DE-BW,77.57350100000001,5788435.226254,2318321.117518,4.773666999999989,0.0,6.111162,2.432434
111,2020-02-15,DE-BY,80.861961,4471885.033249,2303373.3973060003,4.002327000000037,1e-05,5.0605519999999995,2.3270150000000003
112,2020-02-15,DE-HB,74.568269,2352277.6602560002,2430226.519231,8.771474000000069,0.00015900000000000002,3.7307690000000004,6.491987
113,2020-02-15,DE-HE,80.509376,3639824.6976660006,2361505.892182,5.708793000000014,2.8999999999999997e-05,4.213783,4.486149
114,2020-02-15,DE-HH,73.933617,2779090.399621,2427348.566288,8.053975000000037,0.000143,3.090909,5.741193
115,2020-02-15,DE-MV,80.426192,1500811.648278,2430373.589607,6.133045000000038,6.500000000000001e-05,2.712283,4.998651000000001
116,2020-02-15,DE-NI,74.627255,2436644.610334,2416637.833333,8.006437000000062,0.000246,3.089948,5.7832040000000005
117,2020-02-15,DE-NW,73.927677,3313151.859294,2390280.1119,8.064789000000019,0.00021600000000000002,4.647284,5.508573999999999
118,2020-02-15,DE-RP,80.347102,4044580.7261010003,2357504.604621,6.141733000000045,7.900000000000001e-05,5.408171,3.8419339999999997
119,2020-02-15,DE-SH,81.388508,1152649.00965,2425773.260612,7.62509,0.0014039999999999999,0.987489,6.5418400000000005
120,2020-02-15,DE-SL,80.994812,4552454.992527,2361113.618207,6.44208500000002,2e-05,5.184783,3.768818
121,2020-02-15,DE-SN,78.23357299999999,1714292.98594,2368601.154711,4.946381000000031,5e-06,3.911715,4.476668
